id,household_id,parent_id,name,kind,is_system
60359a9a-4426-525f-8612-e3851f2c268b,,,Income,category,t
6c0c2abf-7cfa-5a47-8849-03157cb7d806,,60359a9a-4426-525f-8612-e3851f2c268b,Salary,subcategory,t
36f59e03-7713-520f-b38d-eeb9972462cf,,60359a9a-4426-525f-8612-e3851f2c268b,Bonus,subcategory,t
e2e266be-946d-56a7-944d-0311faaabeb9,,60359a9a-4426-525f-8612-e3851f2c268b,Interest,subcategory,t
3706471e-7584-5261-afa4-129c511d9b26,,60359a9a-4426-525f-8612-e3851f2c268b,Dividends,subcategory,t
51cdbe66-2fe8-5410-b1bb-11013efbb792,,60359a9a-4426-525f-8612-e3851f2c268b,Refunds,subcategory,t
26d7519c-5ead-5c23-89b2-24970637e115,,,Food & Dining,category,t
fa112a1b-3269-5304-b7dc-1ef8de5dddc0,,26d7519c-5ead-5c23-89b2-24970637e115,Restaurants,subcategory,t
6beed52e-4ccd-593d-890d-ce94bd2b2745,,26d7519c-5ead-5c23-89b2-24970637e115,Coffee Shops,subcategory,t
de3f2bc4-947e-5d7b-a51e-d6da6178c1df,,26d7519c-5ead-5c23-89b2-24970637e115,Fast Food,subcategory,t
5638caff-364a-55b0-9433-607e4844f64b,,26d7519c-5ead-5c23-89b2-24970637e115,Alcohol & Bars,subcategory,t
83564403-ac9f-5db5-a4fb-344879db34db,,,Groceries,category,t
42588061-2aa5-523f-8878-55cc3c8c546f,,,Shopping,category,t
d4c1f95d-47e8-52f6-8df9-eeb79b606fda,,42588061-2aa5-523f-8878-55cc3c8c546f,Clothing,subcategory,t
ba8264d5-be92-573d-bee0-fc77ba1eba53,,42588061-2aa5-523f-8878-55cc3c8c546f,Electronics,subcategory,t
af424ab5-dcc2-5aa4-802d-53e8e99d4579,,42588061-2aa5-523f-8878-55cc3c8c546f,Home & Furniture,subcategory,t
12915486-2f7b-557e-9d40-6d2f4442ed6d,,42588061-2aa5-523f-8878-55cc3c8c546f,Hobbies,subcategory,t
95227dee-05ea-5281-893b-54e843f6b2f5,,,Transportation,category,t
f43ab923-88d2-5d30-b514-e67d3c90367a,,95227dee-05ea-5281-893b-54e843f6b2f5,Fuel,subcategory,t
faa9d7bb-1220-5a93-8675-adf7fee33a10,,95227dee-05ea-5281-893b-54e843f6b2f5,Public Transit,subcategory,t
d765f3b4-e63d-5ea7-8e05-58458f986634,,95227dee-05ea-5281-893b-54e843f6b2f5,Rideshare,subcategory,t
938be465-3e19-5055-b08e-939e392f553f,,95227dee-05ea-5281-893b-54e843f6b2f5,Parking,subcategory,t
51fda6e9-fdf8-5107-ac9c-83867d45beb7,,95227dee-05ea-5281-893b-54e843f6b2f5,Auto Maintenance,subcategory,t
d52a5b76-a6a0-5569-9c84-6d84f082e4c6,,,Housing,category,t
