transaction_id,tag_id
0b82a463-3277-51dc-af58-75575ec4d759,fe741118-3353-505e-9498-a287072c470d
c31ce90b-a139-5fec-b2ae-679f62cf130b,fe741118-3353-505e-9498-a287072c470d
d31667d1-6c97-525b-be9e-7b38ba77aca7,0fcf7524-0e83-5e23-9d38-1fd0966978ef
4a05cac1-54c1-55d1-8bb4-38c400a8cbe0,0fcf7524-0e83-5e23-9d38-1fd0966978ef
8bf6ab3a-7ecc-5547-a5ad-e6151eeed7c1,0fcf7524-0e83-5e23-9d38-1fd0966978ef
743bc028-9a38-5a87-8014-917731ac9f33,fe741118-3353-505e-9498-a287072c470d
5e000add-39f8-5669-813c-5a2397e0a00d,0fcf7524-0e83-5e23-9d38-1fd0966978ef
673bf702-20b2-5c63-b65c-68e70997bc05,0fcf7524-0e83-5e23-9d38-1fd0966978ef
aef33584-8eba-542d-adad-9c8d3d8366b6,fe741118-3353-505e-9498-a287072c470d
23961412-75fd-55a2-a7c5-92a6863e8793,0fcf7524-0e83-5e23-9d38-1fd0966978ef
7625922f-458a-5b96-a0ba-ad97b9d3d731,0fcf7524-0e83-5e23-9d38-1fd0966978ef
2c0893fe-3c0c-5334-9c07-f11e4dcda5fa,0fcf7524-0e83-5e23-9d38-1fd0966978ef
80adad3f-b270-50ab-ae4a-a99374289c7e,fe741118-3353-505e-9498-a287072c470d
13ad6875-4a9c-5c7b-84f2-145c7e00bcd8,0fcf7524-0e83-5e23-9d38-1fd0966978ef
6a8bb660-51e1-5058-81c8-1e96a65f5183,fe741118-3353-505e-9498-a287072c470d
a60de97b-9043-5d2d-8db2-4bad4193dfe2,fe741118-3353-505e-9498-a287072c470d
7853398c-8704-5b33-b901-8f28803ad06f,0fcf7524-0e83-5e23-9d38-1fd0966978ef
7821c1c5-35e2-5c4e-bdd2-2c5fde2fad2a,0fcf7524-0e83-5e23-9d38-1fd0966978ef
40813d00-d6f3-579c-9e3f-b4f2b133c63a,fe741118-3353-505e-9498-a287072c470d
c55248ed-a411-5605-b3d0-8b47dc3f4fdf,0fcf7524-0e83-5e23-9d38-1fd0966978ef
13e685b3-6bc8-5631-b09f-25234468f2b9,fe741118-3353-505e-9498-a287072c470d
2e72c63f-bc24-55a8-9bb2-38bb81ec6c86,fe741118-3353-505e-9498-a287072c470d
