id,household_id,name
ff93c5aa-43ad-5bbd-99d2-d29ebbf794e7,532788bd-1641-5dc9-b246-c4397ed4af60,recurring
5b273b4f-6b6b-51a9-8556-7f03e62a8d7d,532788bd-1641-5dc9-b246-c4397ed4af60,business
9e2a38fd-6868-5b33-a6f3-57f1510d008c,532788bd-1641-5dc9-b246-c4397ed4af60,reimbursable
6dc7b160-838e-5b48-8f29-075f938314f3,532788bd-1641-5dc9-b246-c4397ed4af60,tax-deductible
093ccdd6-6ee6-526e-bcf2-e5dcf7342806,532788bd-1641-5dc9-b246-c4397ed4af60,annual
602daafb-02c5-53e7-bc0e-956cedcaff43,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,recurring
b6596eb0-c755-5feb-b98f-93a470d56c25,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,business
8634f7d2-432b-58ea-a1c6-c1ce55671d50,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,reimbursable
3291fef4-49b3-5508-9c30-02284ea8ff3b,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,tax-deductible
17b3f607-481a-5d1a-9dd7-1b88199914c2,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,annual
