id,household_id,owner_user_id,label,type,currency,is_shared,mask,plaid_item_id,plaid_account_id
859c8fb0-d2a2-5d68-ad57-6ad36dcbffcc,532788bd-1641-5dc9-b246-c4397ed4af60,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,Person 1-1's Checking,checking,USD,f,xxxx2824,,
ea3136c4-ca68-5c0c-9351-6fc5fa972b2d,532788bd-1641-5dc9-b246-c4397ed4af60,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,Person 1-1's Savings,savings,USD,t,xxxx1409,,
c7c53ab9-c6fe-5a0b-b3a8-36f12237d898,532788bd-1641-5dc9-b246-c4397ed4af60,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,Person 1-1's Credit,credit,USD,f,xxxx5506,,
954a5f17-44b6-5a52-b84d-9071f8d4fc6b,532788bd-1641-5dc9-b246-c4397ed4af60,6a8ed953-2c24-5301-8d91-e6aa9dcfeadf,Person 1-1's Investment,investment,USD,f,xxxx4657,,
0c156d79-80a2-5461-96c1-ca3520120b24,532788bd-1641-5dc9-b246-c4397ed4af60,3a7e0274-a2ff-5550-9643-b3b1bff75f60,Person 1-2's Checking,checking,USD,f,xxxx2679,,
31dce8f7-a87f-5137-a38b-2ae92de39ef8,532788bd-1641-5dc9-b246-c4397ed4af60,3a7e0274-a2ff-5550-9643-b3b1bff75f60,Person 1-2's Savings,savings,USD,t,xxxx9935,,
7cd7214f-c5a0-5686-ac5e-e3bb448e3217,532788bd-1641-5dc9-b246-c4397ed4af60,3a7e0274-a2ff-5550-9643-b3b1bff75f60,Person 1-2's Credit,credit,USD,f,xxxx2424,,
494fb35b-ea2e-5ea2-8e6a-da836c11e230,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,dac49113-c1bb-5b26-8af5-745de0febf46,Person 2-1's Checking,checking,USD,f,xxxx7912,,
770cfd83-40a5-5235-a018-0b0e2c000707,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,dac49113-c1bb-5b26-8af5-745de0febf46,Person 2-1's Savings,savings,USD,t,xxxx1520,,
de3e3182-4126-54b8-a5b3-1fbacfb03c9e,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,dac49113-c1bb-5b26-8af5-745de0febf46,Person 2-1's Credit,credit,USD,f,xxxx1488,,
28278277-458d-5849-9410-2dca6b0f49af,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,dac49113-c1bb-5b26-8af5-745de0febf46,Person 2-1's Investment,investment,USD,f,xxxx4582,,
53507b8d-91a2-559c-9fb7-ee14ea5a7684,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,55ce22b3-98c8-599d-8738-db5727fc2afb,Person 2-2's Checking,checking,USD,f,xxxx9279,,
40db5ff8-dae1-542e-bbe3-abc248a2d68e,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,55ce22b3-98c8-599d-8738-db5727fc2afb,Person 2-2's Savings,savings,USD,t,xxxx1434,,
2874ba79-3ec4-5ee9-990f-c9c6d3d55c92,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,55ce22b3-98c8-599d-8738-db5727fc2afb,Person 2-2's Credit,credit,USD,f,xxxx4257,,
fd9ab66c-2197-52b1-b28b-73684166f141,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,b0074e20-40fa-5b09-b86e-ba06bd06ec34,Person 2-3's Checking,checking,USD,f,xxxx9928,,
7f21c50b-4756-5e11-94dd-761f922501a1,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,b0074e20-40fa-5b09-b86e-ba06bd06ec34,Person 2-3's Savings,savings,USD,t,xxxx7873,,
f90a1219-eed7-5210-a747-67a615574adc,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,b0074e20-40fa-5b09-b86e-ba06bd06ec34,Person 2-3's Credit,credit,USD,f,xxxx4611,,
