id,household_id,category_id,period,amount,currency
a776747a-85c3-556f-a9f6-9134da8bb74c,532788bd-1641-5dc9-b246-c4397ed4af60,d52a5b76-a6a0-5569-9c84-6d84f082e4c6,monthly,1800.00,USD
e7b4ffd0-df50-5cec-ba18-9e699259a902,532788bd-1641-5dc9-b246-c4397ed4af60,83564403-ac9f-5db5-a4fb-344879db34db,monthly,720.00,USD
b4f88009-0c79-5192-9196-807630e759a4,532788bd-1641-5dc9-b246-c4397ed4af60,26d7519c-5ead-5c23-89b2-24970637e115,monthly,480.00,USD
a6d70f84-3f80-5409-85dd-7e6856fde7ab,532788bd-1641-5dc9-b246-c4397ed4af60,95227dee-05ea-5281-893b-54e843f6b2f5,monthly,600.00,USD
2be39ec3-fca5-52c9-a859-e5e836914a8e,532788bd-1641-5dc9-b246-c4397ed4af60,2b4fcaba-0f8e-5d26-96e7-08e4d118ddc2,monthly,360.00,USD
89d0a8ed-8369-5c30-b75a-bfffde4041cf,532788bd-1641-5dc9-b246-c4397ed4af60,42588061-2aa5-523f-8878-55cc3c8c546f,monthly,480.00,USD
7f88d93c-9605-5baf-93bb-1742d59897c2,532788bd-1641-5dc9-b246-c4397ed4af60,f3623420-6d16-5c10-9940-28700f25fa86,monthly,300.00,USD
c3f8e2ea-8a95-57e5-833b-06b65447d63a,532788bd-1641-5dc9-b246-c4397ed4af60,a1b9748d-4932-5774-a003-e66e7f25e31d,monthly,240.00,USD
4a145fb8-40e4-5338-afee-a7f36bea0cdc,532788bd-1641-5dc9-b246-c4397ed4af60,31c13f26-cee8-5dec-b555-da8ffa5d9388,monthly,180.00,USD
6d1b2446-208c-5669-9ae6-f73424f71976,532788bd-1641-5dc9-b246-c4397ed4af60,24dee985-77d9-596c-924d-7529b3fd7f7a,monthly,120.00,USD
8824ca4d-1cb8-51e4-b424-98023b3def28,532788bd-1641-5dc9-b246-c4397ed4af60,aee92619-ae79-565c-a988-70e59f94bc78,monthly,120.00,USD
27fe948f-34d1-5eb4-9342-c5d7da2bad8d,532788bd-1641-5dc9-b246-c4397ed4af60,7def0bf1-0c26-565f-858e-45cc51160559,monthly,300.00,USD
035ac8ec-03ae-560e-ba20-5e3f9e64fefc,532788bd-1641-5dc9-b246-c4397ed4af60,c163ef62-5201-5cb2-bf0d-781443a4e5aa,monthly,300.00,USD
688991b8-611e-58ad-a575-0deb3f5d116c,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,d52a5b76-a6a0-5569-9c84-6d84f082e4c6,monthly,900.00,USD
138d333e-df78-5e80-aba0-41282795ca3c,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,83564403-ac9f-5db5-a4fb-344879db34db,monthly,360.00,USD
4ec1b8d8-565e-5e1d-8155-098b2a9dfe89,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,26d7519c-5ead-5c23-89b2-24970637e115,monthly,240.00,USD
a9216103-cd44-567c-b525-e08b803d7939,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,95227dee-05ea-5281-893b-54e843f6b2f5,monthly,300.00,USD
c1c4da47-8455-5748-b7d9-fa6f1c871e01,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,2b4fcaba-0f8e-5d26-96e7-08e4d118ddc2,monthly,180.00,USD
daa197ac-0325-5312-b0c8-dd83dce9c69a,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,42588061-2aa5-523f-8878-55cc3c8c546f,monthly,240.00,USD
a647d538-5190-56ca-9328-831157e74f91,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,f3623420-6d16-5c10-9940-28700f25fa86,monthly,150.00,USD
4b480780-e435-5bb1-a1a4-182d14b7235a,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,a1b9748d-4932-5774-a003-e66e7f25e31d,monthly,120.00,USD
6554f500-1764-5117-a4f6-bbed51847f12,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,31c13f26-cee8-5dec-b555-da8ffa5d9388,monthly,90.00,USD
198959c2-3491-5b49-b2b4-5ba9870e8d05,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,24dee985-77d9-596c-924d-7529b3fd7f7a,monthly,60.00,USD
99b1456a-685c-5731-9971-effbe649722f,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,aee92619-ae79-565c-a988-70e59f94bc78,monthly,60.00,USD
57088bc4-e356-52d4-971f-a5b57d336297,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,7def0bf1-0c26-565f-858e-45cc51160559,monthly,150.00,USD
1db00a4f-065f-577a-8b0d-5cdf4af0c6d4,fb1ad2c1-a5b0-5ae0-9d88-507024507a14,c163ef62-5201-5cb2-bf0d-781443a4e5aa,monthly,150.00,USD
